groups ,RACE,    Total population,        One race,        Two or more races,    One race,        White,        Black or African American,        American Indian and Alaska Native,            Cherokee tribal grouping,            Chippewa tribal grouping,            Navajo tribal grouping,            Sioux tribal grouping,        Asian,            Asian Indian,            Chinese,            Filipino,            Japanese,            Korean,            Vietnamese,            Other Asian,        Native Hawaiian and Other Pacific Islander,            Native Hawaiian,            Guamanian or Chamorro,            Samoan,            Other Pacific Islander,        Some other race,    Two or more races,        White and Black or African American,        White and American Indian and Alaska Native,        White and Asian,        Black or African American and American Indian and Alaska Native,    Race alone or in combination with one or more other races,        Total population,            White,            Black or African American,            American Indian and Alaska Native,            Asian,            Native Hawaiian and Other Pacific Islander,            Some other race,HISPANIC OR LATINO AND RACE,    Total population,        Hispanic or Latino (of any race),            Mexican,            Puerto Rican,            Cuban,            Other Hispanic or Latino,        Not Hispanic or Latino,            White alone,            Black or African American alone,            American Indian and Alaska Native alone,            Asian alone,            Native Hawaiian and Other Pacific Islander alone,            Some other race alone,            Two or more races,                Two races including Some other race,"                Two races excluding Some other race, and Three or more races",    Total housing units
estimate,,"323,127,515","312,701,080","10,426,435","312,701,080","234,644,039","40,893,369","2,676,399","287,748","126,524","314,679","126,015","17,556,935","3,813,407","4,214,856","2,811,885","789,830","1,438,915","1,803,575","2,684,467","595,986","178,874","82,398","119,605","215,109","16,334,352","10,426,435","2,818,186","1,926,535","2,168,592","333,113",,"323,127,515","243,538,566","45,133,880","5,586,703","20,901,780","1,366,322","18,049,903",,"323,127,515","57,398,719","36,255,589","5,450,472","2,212,566","13,480,092","265,728,796","197,479,450","39,717,127","2,125,635","17,345,193","533,675","758,275","7,769,441","308,586","7,460,855","135,702,775"
moe ,,*****,"±90,475","±90,471","±90,475","±111,971","±64,285","±33,067","±10,448","±5,491","±8,811","±6,678","±43,427","±51,213","±50,407","±42,899","±19,478","±29,643","±35,459","±53,685","±11,433","±9,632","±6,839","±9,612","±12,642","±120,967","±90,471","±46,972","±26,408","±33,506","±13,661",,*****,"±137,283","±51,800","±45,453","±30,630","±23,332","±115,006",,*****,"±9,826","±90,344","±60,590","±37,962","±79,101","±9,826","±20,766","±59,556","±18,356","±41,556","±10,049","±23,892","±68,729","±13,924","±67,104","±3,052"
percent ,,"323,127,515",96.80%,3.20%,96.80%,72.60%,12.70%,0.80%,0.10%,0.00%,0.10%,0.00%,5.40%,1.20%,1.30%,0.90%,0.20%,0.40%,0.60%,0.80%,0.20%,0.10%,0.00%,0.00%,0.10%,5.10%,3.20%,0.90%,0.60%,0.70%,0.10%,,"323,127,515",75.40%,14.00%,1.70%,6.50%,0.40%,5.60%,,"323,127,515",17.80%,11.20%,1.70%,0.70%,4.20%,82.20%,61.10%,12.30%,0.70%,5.40%,0.20%,0.20%,2.40%,0.10%,2.30%,(X)
percent_moe,,(X),±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,,(X),±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,,(X),±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,(X)
NE_estimate ,,"56,209,510","54,607,412","1,602,098","54,607,412","40,998,074","6,679,828","156,051","9,826","2,391","1,670","1,142","3,644,651","1,067,132","1,200,337","295,022","78,418","298,618","164,539","540,585","23,393","7,811","3,685","3,100","8,797","3,105,415","1,602,098","548,897","174,433","305,557","53,699",,"56,209,510","42,300,740","7,524,580","499,873","4,107,769","76,527","3,445,667",,"56,209,510","8,014,211","1,058,414","2,676,019","208,427","4,071,351","48,195,299","36,905,940","6,220,271","93,964","3,618,190","17,057","246,964","1,092,913","86,140","1,006,773","23,954,214"
NE_moe,,*****,"±35,189","±35,189","±35,189","±45,225","±25,912","±9,809","±2,239","±1,151",±983,±934,"±18,564","±22,823","±22,827","±13,819","±5,860","±12,177","±11,883","±24,818","±3,783","±2,049",±911,"±1,060","±2,619","±47,807","±35,189","±20,292","±8,395","±13,629","±6,398",,*****,"±46,450","±27,962","±13,930","±9,445","±5,821","±47,163",,*****,"±1,899","±35,744","±42,664","±10,813","±43,309","±1,899","±10,810","±18,037","±5,142","±17,846","±2,927","±13,256","±24,549","±7,136","±23,607","±1,164"
NE_percent,,"56,209,510",97.10%,2.90%,97.10%,72.90%,11.90%,0.30%,0.00%,0.00%,0.00%,0.00%,6.50%,1.90%,2.10%,0.50%,0.10%,0.50%,0.30%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.50%,2.90%,1.00%,0.30%,0.50%,0.10%,,"56,209,510",75.30%,13.40%,0.90%,7.30%,0.10%,6.10%,,"56,209,510",14.30%,1.90%,4.80%,0.40%,7.20%,85.70%,65.70%,11.10%,0.20%,6.40%,0.00%,0.40%,1.90%,0.20%,1.80%,(X)
NE_percent_moe,,(X),±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,,(X),±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,,(X),±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,(X)
MW_estimate,,"67,941,431","66,134,468","1,806,963","66,134,468","54,841,493","7,036,046","430,952","34,985","101,904","4,221","90,680","2,107,506","599,832","406,950","218,268","63,975","162,472","158,557","497,452","36,103","10,856","6,763","5,407","13,077","1,682,368","1,806,963","676,030","350,501","335,179","59,124",,"67,941,431","56,477,405","7,927,261","941,917","2,546,723","90,824","1,901,868",,"67,941,431","5,234,503","3,837,792","529,773","89,362","777,576","62,706,928","51,668,932","6,937,042","376,550","2,093,768","29,561","93,630","1,507,445","40,405","1,467,040","29,964,214"
MW_moe,,*****,"±31,649","±31,647","±31,649","±36,567","±24,533","±10,571","±3,731","±4,339","±1,490","±4,782","±14,309","±17,561","±13,588","±12,028","±5,478","±9,849","±10,159","±18,922","±3,864","±2,286","±1,793","±1,361","±2,919","±36,319","±31,647","±21,082","±8,282","±12,171","±6,652",,*****,"±44,037","±16,639","±14,584","±10,649","±6,556","±38,038",,*****,"±3,854","±27,415","±21,129","±6,697","±23,046","±3,855","±6,988","±22,479","±7,749","±14,118","±3,635","±7,876","±24,939","±4,870","±24,779","±1,559"
MW_percent,,"67,941,431",97.30%,2.70%,97.30%,80.70%,10.40%,0.60%,0.10%,0.10%,0.00%,0.10%,3.10%,0.90%,0.60%,0.30%,0.10%,0.20%,0.20%,0.70%,0.10%,0.00%,0.00%,0.00%,0.00%,2.50%,2.70%,1.00%,0.50%,0.50%,0.10%,,"67,941,431",83.10%,11.70%,1.40%,3.70%,0.10%,2.80%,,"67,941,431",7.70%,5.60%,0.80%,0.10%,1.10%,92.30%,76.00%,10.20%,0.60%,3.10%,0.00%,0.10%,2.20%,0.10%,2.20%,(X)
MW_percent_moe,,(X),±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,,(X),±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,,(X),±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,(X)
S_estimate,,"122,319,574","119,027,003","3,292,571","119,027,003","86,550,153","23,626,004","821,382","203,730","8,947","8,418","10,297","4,064,894","1,137,530","688,710","472,784","94,622","348,886","626,207","696,155","91,490","21,161","23,735","13,276","33,318","3,873,080","3,292,571","1,038,017","701,203","552,589","148,567",,"122,319,574","89,365,331","25,191,008","1,863,502","4,899,192","219,725","4,343,274",,"122,319,574","21,347,219","12,799,491","1,796,785","1,736,201","5,014,742","100,972,355","70,173,460","23,179,872","669,558","4,020,342","77,263","260,261","2,591,599","98,367","2,493,232","52,153,320"
S_moe,,*****,"±49,907","±49,907","±49,907","±57,785","±45,354","±17,536","±8,248","±2,106","±1,920","±2,655","±19,468","±25,513","±20,567","±16,634","±7,093","±13,607","±21,900","±25,377","±6,080","±2,923","±3,991","±2,725","±3,931","±68,123","±49,907","±27,058","±16,372","±17,606","±9,818",,*****,"±64,279","±35,115","±28,148","±18,772","±10,599","±68,882",,*****,"±8,464","±50,639","±39,633","±31,305","±54,949","±8,464","±12,634","±40,768","±10,903","±19,178","±5,181","±15,448","±38,131","±8,145","±38,325","±1,329"
S_percent,,"122,319,574",97.30%,2.70%,97.30%,70.80%,19.30%,0.70%,0.20%,0.00%,0.00%,0.00%,3.30%,0.90%,0.60%,0.40%,0.10%,0.30%,0.50%,0.60%,0.10%,0.00%,0.00%,0.00%,0.00%,3.20%,2.70%,0.80%,0.60%,0.50%,0.10%,,"122,319,574",73.10%,20.60%,1.50%,4.00%,0.20%,3.60%,,"122,319,574",17.50%,10.50%,1.50%,1.40%,4.10%,82.50%,57.40%,19.00%,0.50%,3.30%,0.10%,0.20%,2.10%,0.10%,2.00%,(X)
S_percent_moe ,,(X),±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,,(X),±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,,(X),±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,(X)
W_estimate,,"76,657,000","72,932,197","3,724,803","72,932,197","52,254,319","3,551,491","1,268,014","39,207","13,282","300,370","23,896","7,739,884","1,008,913","1,918,859","1,825,811","552,815","628,939","854,272","950,275","445,000","139,046","48,215","97,822","159,917","7,673,489","3,724,803","555,242","700,398","975,267","71,723",,"76,657,000","55,395,090","4,491,031","2,281,411","9,348,096","979,246","8,359,094",,"76,657,000","22,802,786","18,559,892","447,895","178,576","3,616,423","53,854,214","38,731,118","3,379,942","985,563","7,612,893","409,794","157,420","2,577,484","83,674","2,493,810","29,631,027"
W_moe,,*****,"±47,749","±47,749","±47,749","±71,386","±22,307","±21,727","±4,703","±2,431","±8,081","±3,673","±26,392","±27,658","±33,343","±30,572","±17,379","±22,334","±24,643","±26,620","±10,250","±8,613","±5,408","±9,504","±11,754","±79,514","±47,749","±16,636","±19,346","±19,956","±7,243",,*****,"±84,869","±21,476","±30,154","±17,142","±17,480","±77,606",,*****,"±1,615","±52,681","±17,516","±11,303","±45,532","±1,615","±9,376","±19,657","±10,954","±23,935","±8,738","±11,706","±34,527","±7,017","±35,197","±1,610"
W_percent ,,"76,657,000",95.10%,4.90%,95.10%,68.20%,4.60%,1.70%,0.10%,0.00%,0.40%,0.00%,10.10%,1.30%,2.50%,2.40%,0.70%,0.80%,1.10%,1.20%,0.60%,0.20%,0.10%,0.10%,0.20%,10.00%,4.90%,0.70%,0.90%,1.30%,0.10%,,"76,657,000",72.30%,5.90%,3.00%,12.20%,1.30%,10.90%,,"76,657,000",29.70%,24.20%,0.60%,0.20%,4.70%,70.30%,50.50%,4.40%,1.30%,9.90%,0.50%,0.20%,3.40%,0.10%,3.30%,(X)
W_percent_moe,,(X),±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,,(X),±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,,(X),±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,(X)